total,Lookup_Value,co_benefit_type,LAD,EPC,Tenure,Typology,Fuel_Type,Gas_flag,Number_cars,Under_35,Over_65,Median_Income,Unemployment,Rurality,House_value,Fuel_consumption_total,Floor_area,Urban_trips,Total_vkm,Urban_vkm,Y2025_2029,Y2030_2034,Y2035_2039,Y2040_2044,Y2045_2050
"0.0000015532669976892066","S01008748","Excess heat","S12000036","4","1","2","1","1","0","0.29","0.32","31784.6568","0.02","1","240000","37584","108","352.72","8889.17","5891.99","-4.762999772367493e-9","1.9119999805639054e-8","2.3441000962520775e-7","5.295000278238149e-7","7.749999895168003e-7"
"-0.708648681640625","S01008748","Longer travel times","S12000036","4","1","2","1","1","0","0.29","0.32","31784.6568","0.02","1","240000","37584","108","352.72","8889.17","5891.99","-0.10000324249267578","-0.14231368899345398","-0.14619705080986023","-0.14706045389175415","-0.17307420074939728"
"0.8221065402030945","S01008748","Noise","S12000036","4","1","2","1","1","0","0.29","0.32","31784.6568","0.02","1","240000","37584","108","352.72","8889.17","5891.99","0.028868023306131363","0.10464528203010559","0.2019299864768982","0.24104472994804382","0.2456185668706894"
"1.8105565309524536","S01008748","Physical activity","S12000036","4","1","2","1","1","0","0.29","0.32","31784.6568","0.02","1","240000","37584","108","352.72","8889.17","5891.99","0.19002310931682587","0.3079405128955841","0.363727331161499","0.40995344519615173","0.5389119982719421"
"-0.0009471799130551517","S01008748","Road repairs","S12000036","4","1","2","1","1","0","0.29","0.32","31784.6568","0.02","1","240000","37584","108","352.72","8889.17","5891.99","-0.000006490000941994367","-0.00006269000004976988","-0.00017129999469034374","-0.0002750999992713332","-0.00043159996857866645"
"-0.00670006824657321","S01008748","Road safety","S12000036","4","1","2","1","1","0","0.29","0.32","31784.6568","0.02","1","240000","37584","108","352.72","8889.17","5891.99","0.0019036700250580907","0.002207305980846286","-0.00026674699620343745","-0.0031272289343178272","-0.007417068351060152"
"0.7379350066184998","S01008749","Air quality","S12000036","4","1","2","1","1","0","0.3","0.32","34105.5988","0.04","1","385000","39208","116","561.04","10468.1","6938.55","0.01994573511183262","0.06775179505348206","0.14768822491168976","0.21350298821926117","0.28904619812965393"
"-0.02081172540783882","S01008749","Congestion","S12000036","4","1","2","1","1","0","0.3","0.32","34105.5988","0.04","1","385000","39208","116","561.04","10468.1","6938.55","0.00903729535639286","0.010782995261251926","-0.00029026204720139503","-0.012515997514128685","-0.02782575413584709"
"0.0048339879140257835","S01008749","Dampness","S12000036","4","1","2","1","1","0","0.3","0.32","34105.5988","0.04","1","385000","39208","116","561.04","10468.1","6938.55","0.00008058140520006418","0.00043542898492887616","0.0010764009784907103","0.001433075056411326","0.0018085009651258588"
"0.07815147191286087","S01008749","Diet change","S12000036","4","1","2","1","1","0","0.3","0.32","34105.5988","0.04","1","385000","39208","116","561.04","10468.1","6938.55","0.01106214988976717","0.017719153314828873","0.016586361452937126","0.015510106459259987","0.017273705452680588"
"0.21382836997509003","S01008749","Excess cold","S12000036","4","1","2","1","1","0","0.3","0.32","34105.5988","0.04","1","385000","39208","116","561.04","10468.1","6938.55","0.0034545250236988068","0.01718970015645027","0.035798851400613785","0.06062566488981247","0.09675964713096619"
"0.000002566964667494176","S01008749","Excess heat","S12000036","4","1","2","1","1","0","0.3","0.32","34105.5988","0.04","1","385000","39208","116","561.04","10468.1","6938.55","-1.6545300240977667e-8","3.093999723091656e-8","3.925699729734333e-7","8.749999551582732e-7","0.0000012850000530306716"
"-1.1807036399841309","S01008749","Longer travel times","S12000036","4","1","2","1","1","0","0.3","0.32","34105.5988","0.04","1","385000","39208","116","561.04","10468.1","6938.55","-0.16661882400512695","-0.23711369931697845","-0.24358388781547546","-0.24502244591712952","-0.28836488723754883"
"1.3705097436904907","S01008749","Noise","S12000036","4","1","2","1","1","0","0.3","0.32","34105.5988","0.04","1","385000","39208","116","561.04","10468.1","6938.55","0.04802117496728897","0.1742410659790039","0.33652421832084656","0.4019443094730377","0.40977907180786133"
"4.64096736907959","S01008749","Physical activity","S12000036","4","1","2","1","1","0","0.3","0.32","34105.5988","0.04","1","385000","39208","116","561.04","10468.1","6938.55","0.48764893412590027","0.7897974252700806","0.9325450658798218","1.0506857633590698","1.3802903890609741"
"-0.0015777340158820152","S01008749","Road repairs","S12000036","4","1","2","1","1","0","0.3","0.32","34105.5988","0.04","1","385000","39208","116","561.04","10468.1","6938.55","-0.000010679999832063913","-0.00010430000838823617","-0.0002852999896276742","-0.00045831900206394494","-0.0007191349868662655"
"-0.01116320863366127","S01008749","Road safety","S12000036","4","1","2","1","1","0","0.3","0.32","34105.5988","0.04","1","385000","39208","116","561.04","10468.1","6938.55","0.0031717699021101","0.0036776671186089516","-0.0004444390069693327","-0.005210379604250193","-0.01235782727599144"
"0.48039770126342773","S01008750","Air quality","S12000036","4","1","1","1","1","0","0.26","0.34","29944.1844","0.02","1","292750","27297","81","326.68","11125.72","7374.44","0.012981905601918697","0.04410687834024429","0.09614602476358414","0.13899187743663788","0.18817102909088135"
"-0.013548571616411209","S01008750","Congestion","S12000036","4","1","1","1","1","0","0.26","0.34","29944.1844","0.02","1","292750","27297","81","326.68","11125.72","7374.44","0.005883340258151293","0.007019801530987024","-0.00018896308029070497","-0.00814799778163433","-0.01811475306749344"
"0.005837929435074329","S01008750","Dampness","S12000036","4","1","1","1","1","0","0.26","0.34","29944.1844","0.02","1","292750","27297","81","326.68","11125.72","7374.44","0.0000339838006766513","0.0005017570219933987","0.0012422740692272782","0.0016900480259209871","0.0023698671720921993"
"0.05087713524699211","S01008750","Diet change","S12000036","4","1","1","1","1","0","0.26","0.34","29944.1844","0.02","1","292750","27297","81","326.68","11125.72","7374.44","0.007201533764600754","0.011535287834703922","0.010797831229865551","0.010097182355821133","0.011245298199355602"
"0.12626585364341736","S01008750","Excess cold","S12000036","4","1","1","1","1","0","0.26","0.34","29944.1844","0.02","1","292750","27297","81","326.68","11125.72","7374.44","0.00036019901745021343","0.007796728052198887","0.021847926080226898","0.03877989202737808","0.05748111009597778"
"0.000001614920961401367","S01008750","Excess heat","S12000036","4","1","1","1","1","0","0.26","0.34","29944.1844","0.02","1","292750","27297","81","326.68","11125.72","7374.44","-2.435999846284176e-9","2.720699932012849e-8","2.5324999342046794e-7","5.469000257107837e-7","7.900000014160469e-7"
"-0.7686461210250854","S01008750","Longer travel times","S12000036","4","1","1","1","1","0","0.26","0.34","29944.1844","0.02","1","292750","27297","81","326.68","11125.72","7374.44","-0.10846996307373047","-0.15436260402202606","-0.15857474505901337","-0.1595112681388855","-0.18772746622562408"
